VARIABLES = "x"
 "y"
 "Stress11"
 "Stress22"
 "Stress12"
 "Von Mises Stress"
 "Max. Principal Stress"
 "Mid. Principal Stress"
 "Min. Principal Stress"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                       0           -33158.390625          -198584.359375   -2.35338581955346E-10           184256.578125                       0           -33158.390625          -198584.359375 
                      0                    0.05       -32912.6285122433       -197474.244657139   -2.23079535227003E-10        183248.253273657                       0       -32912.6285122433       -197474.244657139 
                      0                     0.1       -32662.2928415637        -196363.81307189   -2.10836749764787E-10        182241.264038616                       0       -32662.2928415637        -196363.81307189 
                      0                    0.15       -32407.5473772788       -195253.042697104   -1.98615935498103E-10        181235.554537857                       0       -32407.5473772788       -195253.042697104 
                      0                     0.2       -32148.0229816558       -194141.912781757   -1.86427545104347E-10        180231.238206376                       0       -32148.0229816558       -194141.912781757 
                      0                    0.25       -31884.7359913793        -193030.47737069   -1.74272287692688E-10        179228.008081897                       0       -31884.7359913793        -193030.47737069 
                      0                     0.3        -31617.785551816        -191918.74108278    -1.6215680498458E-10        178225.822955219                       0        -31617.785551816        -191918.74108278 
                      0                    0.35       -31347.0451923915       -190806.679961469   -1.50092122688034E-10        177224.721448079                       0       -31347.0451923915       -190806.679961469 
                      0                     0.4       -31073.2992702039       -189694.337704383   -1.38076456073566E-10        176224.464871575                       0       -31073.2992702039       -189694.337704383 
                      0                    0.45       -30796.6081707424       -188581.709083746    -1.2611795406673E-10         175225.04528736                       0       -30796.6081707424       -188581.709083746 
                      0                     0.5       -30517.0196871181       -187468.793998019   -1.14226838440849E-10        174226.433564308                       0       -30517.0196871181       -187468.793998019 
                      0                    0.55       -30235.1277450185       -186355.627364481   -1.02399624554832E-10        173228.457140034                       0       -30235.1277450185       -186355.627364481 
                      0                     0.6       -29950.9773605024       -185242.206842989   -9.06465353671672E-11        172231.109809396                       0       -29950.9773605024       -185242.206842989 
                      0                    0.65       -29664.7299902242        -184128.52960615   -7.89756703044614E-11        171234.307626283                       0       -29664.7299902242        -184128.52960615 
                      0                     0.7       -29376.8276483711        -183014.62715363   -6.73826209263798E-11        170237.954796946                       0       -29376.8276483711        -183014.62715363 
                      0                    0.75       -29087.1631728936        -181900.45480414   -5.58941314673173E-11        169242.059698585                       0       -29087.1631728936        -181900.45480414 
                      0                     0.8       -28795.3867883149       -180785.918369174   -4.45687492024722E-11        168246.682349385                       0       -28795.3867883149       -180785.918369174 
                      0                    0.85       -28503.6104037362       -179671.381934208    -3.3243366937627E-11        167251.305000186                       0       -28503.6104037362       -179671.381934208 
                      0                     0.9       -28211.4815477172       -178556.758214827   -2.19661136111499E-11        166256.002812566                       0       -28211.4815477172       -178556.758214827 
                      0                    0.95       -27917.4140968651       -177441.654430689    -1.0953569706749E-11        165261.114014041                       0       -27917.4140968651       -177441.654430689 
                      0                       1       -27623.3466460129       -176326.550646552     5.8974197651766E-14        164266.225215517                       0       -27623.3466460129       -176326.550646552 
                      0                    1.05       -27329.1614731927       -175211.358311171    1.10088583694289E-11        163271.334602786                       0       -27329.1614731927       -175211.358311171 
                      0                     1.1       -27034.4381429829       -174095.761170245    2.16722981443355E-11        162276.435696541                       0       -27034.4381429829       -174095.761170245 
                      0                    1.15        -26739.714812773       -172980.164029318    3.23357379192421E-11        161281.536790297                       0        -26739.714812773       -172980.164029318 
                      0                     1.2       -26445.1618266981       -171864.484808755    4.29207230234337E-11        160286.539660536                       0       -26445.1618266981       -171864.484808755 
                      0                    1.25       -26151.2689280563       -170748.487527715    5.32016944776509E-11        159291.161912399                       0       -26151.2689280563       -170748.487527715 
                      0                     1.3       -25857.3760294145       -169632.490246674    6.34826659318681E-11        158295.784164262                       0       -25857.3760294145       -169632.490246674 
                      0                    1.35       -25563.9853746907       -168516.416798041    7.36683201612488E-11         157300.20293617                       0       -25563.9853746907       -168516.416798041 
                      0                     1.4       -25272.2688625552       -167400.089458011    8.35362510300026E-11        156303.943443105                       0       -25272.2688625552       -167400.089458011 
                      0                    1.45       -24980.5523504197        -166283.76211798    9.34041818987563E-11         155307.68395004                       0       -24980.5523504197        -166283.76211798 
                      0                     1.5       -24689.7035702997       -165167.371240439    1.03159090002324E-10        154311.100976971                       0       -24689.7035702997       -165167.371240439 
                      0                    1.55       -24401.3712210929       -164050.796103529    1.12586231035929E-10        153313.579908881                       0       -24401.3712210929       -164050.796103529 
                      0                     1.6       -24113.0388718861       -162934.220966619    1.22013372069533E-10        152316.058840792                       0       -24113.0388718861       -162934.220966619 
                      0                    1.65       -23825.9650936493       -161817.600149933    1.31309118221053E-10        151318.086084453                       0       -23825.9650936493       -161817.600149933 
                      0                     1.7       -23542.0949386158       -160700.863057887    1.40270405924763E-10        150318.963580512                       0       -23542.0949386158       -160700.863057887 
                      0                    1.75       -23258.2247835823       -159584.125965841    1.49231693628473E-10         149319.84107657                       0       -23258.2247835823       -159584.125965841 
                      0                     1.8       -22976.0206408861       -158467.362736303    1.58042764680821E-10        148320.136429871                       0       -22976.0206408861       -158467.362736303 
                      0                    1.85       -22697.5650304668        -157350.54069734    1.66515847860216E-10        147319.121960388                       0       -22697.5650304668        -157350.54069734 
                      0                     1.9       -22419.1094200475       -156233.718658377     1.7498893103961E-10        146318.107490906                       0       -22419.1094200475       -156233.718658377 
                      0                    1.95       -22142.7370159459       -155116.891664573     1.8329269394224E-10        145316.371842761                       0       -22142.7370159459       -155116.891664573 
