Arc Length	Comp 22 of Stress
 4.3500000000000e+00	-1.0274330657502e+05
 4.4000000000000e+00	-1.0162840884649e+05
 4.4500000000000e+00	-1.0050717947680e+05
 4.5000000000000e+00	-9.9385894089518e+04
 4.5500000000000e+00	-9.8264816804747e+04
 4.6000000000000e+00	-9.7143131539357e+04
 4.6500000000000e+00	-9.6017534699950e+04
 4.7000000000000e+00	-9.4891811279674e+04
 4.7500000000000e+00	-9.3765914541806e+04
 4.8000000000000e+00	-9.2639899915464e+04
 4.8500000000000e+00	-9.1542834466462e+04
 4.9000000000000e+00	-9.0450496541828e+04
 4.9500000000000e+00	-8.9359300387074e+04
		5	-8.8269160789799e+04
 5.0500000000000e+00	-8.7168142441112e+04
 5.1000000000000e+00	-8.6051472979778e+04
 5.1500000000000e+00	-8.4934824452003e+04
 5.2000000000000e+00	-8.3818199322223e+04
 5.2500000000000e+00	-8.2698897737251e+04
 5.3000000000000e+00	-8.1568673184081e+04
 5.3500000000000e+00	-8.0439268712643e+04
 5.4000000000000e+00	-7.9311387303335e+04
 5.4500000000000e+00	-7.8184562191228e+04
 5.5000000000000e+00	-7.7060463364311e+04
 5.5500000000000e+00	-7.5936873339538e+04
 5.6000000000000e+00	-7.4812542136539e+04
 5.6500000000000e+00	-7.3689434121360e+04
 5.7000000000000e+00	-7.2567704035251e+04
 5.7500000000000e+00	-7.1445977622190e+04
 5.8000000000000e+00	-7.0324254904362e+04
 5.8500000000000e+00	-6.9200368013581e+04
 5.9000000000000e+00	-6.8073854925342e+04
 5.9500000000000e+00	-6.6947341910659e+04
		6	-6.5820828969795e+04
 6.0500000000000e+00	-6.4691811987174e+04
 6.1000000000000e+00	-6.3560372442447e+04
 6.1500000000000e+00	-6.2429965471398e+04
 6.2000000000000e+00	-6.1298424926069e+04
 6.2500000000000e+00	-6.0164550540072e+04
 6.3000000000000e+00	-5.9028814150084e+04
 6.3500000000000e+00	-5.7893586854630e+04
 6.4000000000000e+00	-5.6757750653868e+04
 6.4500000000000e+00	-5.5618851220226e+04
 6.5000000000000e+00	-5.4478885232371e+04
 6.5500000000000e+00	-5.3338909354757e+04
 6.6000000000000e+00	-5.2198923587385e+04
 6.6500000000000e+00	-5.1053511754862e+04
 6.7000000000000e+00	-4.9906709008849e+04
 6.7500000000000e+00	-4.8759901573380e+04
 6.8000000000000e+00	-4.7613089448453e+04
 6.8500000000000e+00	-4.6460926911029e+04
 6.9000000000000e+00	-4.5307368663993e+04
 6.9500000000000e+00	-4.4153807072370e+04
		7	-4.3000242136160e+04
 7.0500000000000e+00	-4.1840454198396e+04
 7.1000000000000e+00	-4.0678941828529e+04
 7.1500000000000e+00	-3.9517426352664e+04
 7.2000000000000e+00	-3.8355907770800e+04
 7.2500000000000e+00	-3.7187686173262e+04
 7.3000000000000e+00	-3.6017662964313e+04
 7.3500000000000e+00	-3.4847635013800e+04
 7.4000000000000e+00	-3.3677602321722e+04
 7.4500000000000e+00	-3.2499799453225e+04
 7.5000000000000e+00	-3.1320097455262e+04
 7.5500000000000e+00	-3.0140382646580e+04
 7.6000000000000e+00	-2.8960655027178e+04
 7.6500000000000e+00	-2.7772701336206e+04
 7.7000000000000e+00	-2.6582922258875e+04
 7.7500000000000e+00	-2.5393114223442e+04
 7.8000000000000e+00	-2.4203277229909e+04
 7.8500000000000e+00	-2.3004846962596e+04
 7.9000000000000e+00	-2.1804567156614e+04
 7.9500000000000e+00	-2.0604239554441e+04
		8	-1.9403973526687e+04
 8.0500000000000e+00	-1.8194705269079e+04
 8.1000000000000e+00	-1.6983962762924e+04
 8.1500000000000e+00	-1.5773080945928e+04
 8.2000000000000e+00	-1.4562348001821e+04
 8.2500000000000e+00	-1.3342417930109e+04
 8.3000000000000e+00	-1.2121401628599e+04
 8.3500000000000e+00	-1.0900310308022e+04
 8.4000000000000e+00	-9.6792079929429e+03
 8.4500000000000e+00	-8.4493221421495e+03
 8.5000000000000e+00	-7.2186198912487e+03
 8.5500000000000e+00	-5.9878418612252e+03
 8.6000000000000e+00	-4.7570499316988e+03
 8.6500000000000e+00	-3.5186759921337e+03
 8.7000000000000e+00	-2.2797625545473e+03
 8.7500000000000e+00	-1.0407831492364e+03
 8.8000000000000e+00	 1.9821154334626e+02
 8.8500000000000e+00	 1.4436406634030e+03
 8.9000000000000e+00	 2.6894139475352e+03
 8.9500000000000e+00	 3.9352396975073e+03
		9	 5.1810753311934e+03
 9.0500000000000e+00	 6.4315040424588e+03
 9.1000000000000e+00	 7.6821114369275e+03
 9.1500000000000e+00	 8.9327565049532e+03
 9.2000000000000e+00	 1.0183407092455e+04
 9.2500000000000e+00	 1.1436667195621e+04
 9.3000000000000e+00	 1.2689997711667e+04
 9.3500000000000e+00	 1.3943352082439e+04
 9.4000000000000e+00	 1.5196709091283e+04
