Arc Length	Comp 11 of Stress
 6.4500000000000e+00	-8.8768274678100e+03
 6.5000000000000e+00	-8.8529762102513e+03
 6.5500000000000e+00	-8.8291232002517e+03
 6.6000000000000e+00	-8.8052684378111e+03
 6.6500000000000e+00	-8.7900035231852e+03
 6.7000000000000e+00	-8.7783628926576e+03
 6.7500000000000e+00	-8.7667214816398e+03
 6.8000000000000e+00	-8.7550792901318e+03
 6.8500000000000e+00	-8.7525474599157e+03
 6.9000000000000e+00	-8.7533270891147e+03
 6.9500000000000e+00	-8.7541063298668e+03
7	-8.7548851821718e+03
 7.0500000000000e+00	-8.7650972964886e+03
 7.1000000000000e+00	-8.7783365448653e+03
 7.1500000000000e+00	-8.7915759193371e+03
 7.2000000000000e+00	-8.8048154199041e+03
 7.2500000000000e+00	-8.8277118732707e+03
 7.3000000000000e+00	-8.8533654711606e+03
 7.3500000000000e+00	-8.8790202758074e+03
 7.4000000000000e+00	-8.9046762872111e+03
 7.4500000000000e+00	-8.9399040103590e+03
 7.5000000000000e+00	-8.9775552624908e+03
 7.5500000000000e+00	-9.0152101947773e+03
 7.6000000000000e+00	-9.0528688072187e+03
 7.6500000000000e+00	-9.0997528888633e+03
 7.7000000000000e+00	-9.1486583999193e+03
 7.7500000000000e+00	-9.1975716960008e+03
 7.8000000000000e+00	-9.2464927771079e+03
 7.8500000000000e+00	-9.3038350199182e+03
 7.9000000000000e+00	-9.3627405085614e+03
 7.9500000000000e+00	-9.4216589856182e+03
8	-9.4805847875064e+03
 8.0500000000000e+00	-9.5465988644911e+03
 8.1000000000000e+00	-9.6136869890320e+03
 8.1500000000000e+00	-9.6807959997680e+03
 8.2000000000000e+00	-9.7479085031870e+03
 8.2500000000000e+00	-9.8201196233139e+03
 8.3000000000000e+00	-9.8929425156761e+03
 8.3500000000000e+00	-9.9657806858559e+03
 8.4000000000000e+00	-1.0038629785553e+04
 8.4500000000000e+00	-1.0113800127681e+04
 8.5000000000000e+00	-1.0189187597246e+04
 8.5500000000000e+00	-1.0264584706731e+04
 8.6000000000000e+00	-1.0339986976096e+04
 8.6500000000000e+00	-1.0414240689191e+04
 8.7000000000000e+00	-1.0488411716206e+04
 8.7500000000000e+00	-1.0562583690564e+04
 8.8000000000000e+00	-1.0636752896369e+04
 8.8500000000000e+00	-1.0705604050040e+04
 8.9000000000000e+00	-1.0774168684041e+04
 8.9500000000000e+00	-1.0842726734837e+04
9	-1.0911275383580e+04
 9.0500000000000e+00	-1.0969959467414e+04
 9.1000000000000e+00	-1.1028257868358e+04
 9.1500000000000e+00	-1.1086545196938e+04
 9.2000000000000e+00	-1.1144819754848e+04
 9.2500000000000e+00	-1.1188536689287e+04
 9.3000000000000e+00	-1.1231861844509e+04
 9.3500000000000e+00	-1.1275175177642e+04
 9.4000000000000e+00	-1.1318475962103e+04
 9.4500000000000e+00	-1.1342779367685e+04
 9.5000000000000e+00	-1.1366757554197e+04
 9.5500000000000e+00	-1.1390726208118e+04
 9.6000000000000e+00	-1.1414685183556e+04
 9.6500000000000e+00	-1.1415890346160e+04
 9.7000000000000e+00	-1.1416878581509e+04
 9.7500000000000e+00	-1.1417860870766e+04
 9.8000000000000e+00	-1.1418837285574e+04
 9.8500000000000e+00	-1.1500682138750e+04
 9.9000000000000e+00	-1.1582816878747e+04
 9.9500000000000e+00	-1.1664949600693e+04
10	-1.1747010706787e+04
