Arc Length	Equivalent Von Mises Stress
 7.7000000000000e+00	 2.3410389531750e+04
 7.7500000000000e+00	 2.2285381815251e+04
 7.8000000000000e+00	 2.1160339388381e+04
 7.8500000000000e+00	 2.0071813246305e+04
 7.9000000000000e+00	 1.8989704046151e+04
 7.9500000000000e+00	 1.7907538721083e+04
		8	 1.6825415992446e+04
 8.0500000000000e+00	 1.5837413487645e+04
 8.1000000000000e+00	 1.4863298853657e+04
 8.1500000000000e+00	 1.3889051767257e+04
 8.2000000000000e+00	 1.2914904324879e+04
 8.2500000000000e+00	 1.2179168032584e+04
 8.3000000000000e+00	 1.1471602810586e+04
 8.3500000000000e+00	 1.0763970512764e+04
 8.4000000000000e+00	 1.0056308232863e+04
 8.4500000000000e+00	 9.8307163909603e+03
 8.5000000000000e+00	 9.6493064277743e+03
 8.5500000000000e+00	 9.4678748930550e+03
 8.6000000000000e+00	 9.2864306206898e+03
 8.6500000000000e+00	 9.6785582026342e+03
 8.7000000000000e+00	 1.0110495594120e+04
 8.7500000000000e+00	 1.0542456749668e+04
 8.8000000000000e+00	 1.0974423656414e+04
 8.8500000000000e+00	 1.1802968834375e+04
 8.9000000000000e+00	 1.2652196938516e+04
 8.9500000000000e+00	 1.3501460838107e+04
		9	 1.4350731423210e+04
 9.0500000000000e+00	 1.5392945737932e+04
 9.1000000000000e+00	 1.6442459648076e+04
 9.1500000000000e+00	 1.7492001531903e+04
 9.2000000000000e+00	 1.8541544552719e+04
 9.2500000000000e+00	 1.9674973967801e+04
 9.3000000000000e+00	 2.0810587640734e+04
 9.3500000000000e+00	 2.1946218333279e+04
 9.4000000000000e+00	 2.3081847043468e+04
 9.4500000000000e+00	 2.4252138948552e+04
 9.5000000000000e+00	 2.5423004882265e+04
 9.5500000000000e+00	 2.6593880256316e+04
 9.6000000000000e+00	 2.7764753775482e+04
 9.6500000000000e+00	 2.8946513475585e+04
 9.7000000000000e+00	 3.0128374193417e+04
 9.7500000000000e+00	 3.1310240060745e+04
 9.8000000000000e+00	 3.2492105961710e+04
 9.8500000000000e+00	 3.3133749088357e+04
 9.9000000000000e+00	 3.3773440557469e+04
 9.9500000000000e+00	 3.4413131217388e+04
		10	 3.5052278750000e+04
