Arc Length	Equivalent Von Mises Stress
 3.2880000000000e+01	 1.5489367536266e+05
 3.3120000000000e+01	 1.4999164378916e+05
 3.3360000000000e+01	 1.4509156631441e+05
 3.3600000000000e+01	 1.4019380143657e+05
 3.3840000000000e+01	 1.3529913052655e+05
 3.4080000000000e+01	 1.3040767631325e+05
 3.4320000000000e+01	 1.2551992751137e+05
 3.4560000000000e+01	 1.2063643370347e+05
 3.4800000000000e+01	 1.1575784422987e+05
 3.5040000000000e+01	 1.1088576187225e+05
 3.5280000000000e+01	 1.0602033856390e+05
 3.5520000000000e+01	 1.0116257426916e+05
 3.5760000000000e+01	 9.6313662943276e+04
		36	 9.1475019804372e+04
 3.6240000000000e+01	 8.6650235763850e+04
 3.6480000000000e+01	 8.1839961061079e+04
 3.6720000000000e+01	 7.7046809166569e+04
 3.6960000000000e+01	 7.2274029782986e+04
 3.7200000000000e+01	 6.7525762379501e+04
 3.7440000000000e+01	 6.2812169960888e+04
 3.7680000000000e+01	 5.8136924245321e+04
 3.7920000000000e+01	 9.1135358406007e+04
 3.8160000000000e+01	 1.6175800263058e+05
 3.8400000000000e+01	 1.6878710804011e+05
 3.8640000000000e+01	 1.6412749446754e+05
 3.8880000000000e+01	 1.5945208903160e+05
 3.9120000000000e+01	 1.5476167926609e+05
 3.9360000000000e+01	 1.5005683205411e+05
 3.9600000000000e+01	 1.4533820485912e+05
 3.9840000000000e+01	 1.4060543770933e+05
 4.0080000000000e+01	 1.3586123619890e+05
 4.0320000000000e+01	 1.3110608136837e+05
 4.0560000000000e+01	 1.2634148598717e+05
 4.0800000000000e+01	 1.2156773288366e+05
 4.1040000000000e+01	 1.1678516555816e+05
 4.1280000000000e+01	 1.1199509903412e+05
 4.1520000000000e+01	 1.0719818704519e+05
 4.1760000000000e+01	 1.0239482348785e+05
		42	 9.7583935817368e+04
 4.2240000000000e+01	 9.2765827936581e+04
 4.2480000000000e+01	 8.7933239993038e+04
 4.2720000000000e+01	 8.3065960735591e+04
 4.2960000000000e+01	 7.8290592882882e+04
 4.3200000000000e+01	 7.3493494711295e+04
 4.3440000000000e+01	 6.8617776134369e+04
 4.3680000000000e+01	 6.3769378098858e+04
 4.3920000000000e+01	 5.8933706839848e+04
 4.4160000000000e+01	 5.4090132477674e+04
 4.4400000000000e+01	 4.9246628675274e+04
 4.4640000000000e+01	 4.4410992132005e+04
 4.4880000000000e+01	 3.9588899007750e+04
 4.5120000000000e+01	 3.4793649789597e+04
 4.5360000000000e+01	 3.0042665418633e+04
 4.5600000000000e+01	 2.5366234606076e+04
 4.5840000000000e+01	 2.0846424361835e+04
 4.6080000000000e+01	 1.6609448818400e+04
 4.6320000000000e+01	 1.2919703742998e+04
 4.6560000000000e+01	 1.0305574294025e+04
 4.6800000000000e+01	 9.4908730687322e+03
 4.7040000000000e+01	 1.1013575093601e+04
 4.7280000000000e+01	 1.3934647140403e+04
 4.7520000000000e+01	 1.7542872478853e+04
 4.7760000000000e+01	 2.1451136710035e+04
		48	 2.3593477817383e+04
