Arc Length	Comp 22 of Stress
 2.0400000000000e+01	-4.4575330152943e+05
 2.0640000000000e+01	-4.4054565311749e+05
 2.0880000000000e+01	-4.3533639613708e+05
 2.1120000000000e+01	-4.3012558604985e+05
 2.1360000000000e+01	-4.2491317619940e+05
 2.1600000000000e+01	-4.1969923007275e+05
 2.1840000000000e+01	-4.1448340266181e+05
 2.2080000000000e+01	-4.0926600619649e+05
 2.2320000000000e+01	-4.0404697759575e+05
 2.2560000000000e+01	-3.9882633819711e+05
 2.2800000000000e+01	-3.9360408214037e+05
 2.3040000000000e+01	-3.8837995477637e+05
 2.3280000000000e+01	-3.8315420120303e+05
 2.3520000000000e+01	-3.7792679752311e+05
 2.3760000000000e+01	-3.7269777017416e+05
		24	-3.6746710437208e+05
 2.4240000000000e+01	-3.6223451797999e+05
 2.4480000000000e+01	-3.5700032061148e+05
 2.4720000000000e+01	-3.5176447033642e+05
 2.4960000000000e+01	-3.4652698940523e+05
 2.5200000000000e+01	-3.4128784719413e+05
 2.5440000000000e+01	-3.3604683959921e+05
 2.5680000000000e+01	-3.3080422676041e+05
 2.5920000000000e+01	-3.2555997917114e+05
 2.6160000000000e+01	-3.2031410388709e+05
 2.6400000000000e+01	-3.1506662091461e+05
 2.6640000000000e+01	-3.0981731706533e+05
 2.6880000000000e+01	-3.0456642437548e+05
 2.7120000000000e+01	-2.9931395622078e+05
 2.7360000000000e+01	-2.9405992747896e+05
 2.7600000000000e+01	-2.8880438593917e+05
 2.7840000000000e+01	-2.8354705117578e+05
 2.8080000000000e+01	-2.7828821576611e+05
 2.8320000000000e+01	-2.7302792560051e+05
 2.8560000000000e+01	-2.6776616164526e+05
 2.8800000000000e+01	-2.6250295823701e+05
 2.9040000000000e+01	-2.5723812293886e+05
 2.9280000000000e+01	-2.5197190442082e+05
 2.9520000000000e+01	-2.4670433850275e+05
 2.9760000000000e+01	-2.4143543237032e+05
		30	-2.3616522240327e+05
 3.0240000000000e+01	-2.3089355893951e+05
 3.0480000000000e+01	-2.2562067764873e+05
 3.0720000000000e+01	-2.2034659778045e+05
 3.0960000000000e+01	-2.1507135683834e+05
 3.1200000000000e+01	-2.0979497570876e+05
 3.1440000000000e+01	-2.0451738583385e+05
 3.1680000000000e+01	-1.9923875109899e+05
 3.1920000000000e+01	-1.9395911519726e+05
 3.2160000000000e+01	-1.8867852227151e+05
 3.2400000000000e+01	-1.8339701270927e+05
 3.2640000000000e+01	-1.7811451295280e+05
 3.2880000000000e+01	-1.7283120840187e+05
 3.3120000000000e+01	-1.6754711411474e+05
 3.3360000000000e+01	-1.6226230774982e+05
 3.3600000000000e+01	-1.5697680988317e+05
 3.3840000000000e+01	-1.5169061074589e+05
 3.4080000000000e+01	-1.4640381512896e+05
 3.4320000000000e+01	-1.4111649084121e+05
 3.4560000000000e+01	-1.3582869505065e+05
 3.4800000000000e+01	-1.3054043572617e+05
 3.5040000000000e+01	-1.2525175179553e+05
 3.5280000000000e+01	-1.1996272839339e+05
 3.5520000000000e+01	-1.1467341261296e+05
 3.5760000000000e+01	-1.0938384721373e+05
		36	-1.0409408375616e+05
 3.6240000000000e+01	-9.8804134793701e+04
 3.6480000000000e+01	-9.3514082645795e+04
 3.6720000000000e+01	-8.8223965020087e+04
 3.6960000000000e+01	-8.2933817174585e+04
 3.7200000000000e+01	-7.7643676815109e+04
 3.7440000000000e+01	-7.2353594991526e+04
 3.7680000000000e+01	-6.7063604648791e+04
 3.7920000000000e+01	-1.0300804326176e+05
 3.8160000000000e+01	-1.8008026670565e+05
 3.8400000000000e+01	-1.8757446754190e+05
 3.8640000000000e+01	-1.8230126540381e+05
 3.8880000000000e+01	-1.7702478896696e+05
 3.9120000000000e+01	-1.7174564728112e+05
 3.9360000000000e+01	-1.6646419229764e+05
 3.9600000000000e+01	-1.6118136757714e+05
 3.9840000000000e+01	-1.5589730329680e+05
 4.0080000000000e+01	-1.5061328666693e+05
 4.0320000000000e+01	-1.4532952007681e+05
 4.0560000000000e+01	-1.4004734283652e+05
 4.0800000000000e+01	-1.3476732956885e+05
 4.1040000000000e+01	-1.2948988910176e+05
 4.1280000000000e+01	-1.2421503861238e+05
 4.1520000000000e+01	-1.1894303997527e+05
 4.1760000000000e+01	-1.1367384371748e+05
		42	-1.0840635072798e+05
 4.2240000000000e+01	-1.0314077937594e+05
 4.2480000000000e+01	-9.7869089789568e+04
 4.2720000000000e+01	-9.2568501580105e+04
 4.2960000000000e+01	-8.7365260700906e+04
 4.3200000000000e+01	-8.2146481428215e+04
 4.3440000000000e+01	-7.6852551646086e+04
 4.3680000000000e+01	-7.1587164668975e+04
 4.3920000000000e+01	-6.6334428088771e+04
 4.4160000000000e+01	-6.1070074594314e+04
 4.4400000000000e+01	-5.5797944113811e+04
 4.4640000000000e+01	-5.0517736894070e+04
 4.4880000000000e+01	-4.5225222569547e+04
 4.5120000000000e+01	-3.9921730103373e+04
 4.5360000000000e+01	-3.4604916956289e+04
 4.5600000000000e+01	-2.9273516315534e+04
 4.5840000000000e+01	-2.3927266762998e+04
 4.6080000000000e+01	-1.8569940364044e+04
 4.6320000000000e+01	-1.3205913406975e+04
 4.6560000000000e+01	-7.8411659524333e+03
 4.6800000000000e+01	-2.4836697050995e+03
 4.7040000000000e+01	 2.8556812037875e+03
 4.7280000000000e+01	 8.1700134495688e+03
 4.7520000000000e+01	 1.3454108352911e+04
 4.7760000000000e+01	 1.8706721019223e+04
		48	 2.1815750231934e+04
